Datetime,Temperature,Turbidity,Dissolved Oxygen,PH,Ammonia,Nitrate
2021-06-19 01:48:00,24.6875,100.0,37.629,8.42911,0.38,198.0
2021-06-19 01:49:00,24.6875,100.0,5.375,8.43818,0.38,201.0
2021-06-19 01:50:00,24.6875,100.0,5.113,8.43365,0.38,198.0
2021-06-19 01:51:00,24.75,100.0,3.287,8.42457,0.38,198.0
2021-06-19 01:52:00,24.75,100.0,6.271,8.42457,0.38,198.0
2021-06-19 01:53:00,24.6875,100.0,6.026,8.43818,0.38,199.0
2021-06-19 01:54:00,24.75,100.0,3.989,8.42911,0.38,199.0
2021-06-19 01:55:00,24.6875,100.0,4.04,8.42003,0.38,203.0
2021-06-19 01:56:00,24.6875,100.0,6.711,8.42911,0.38,201.0
2021-06-19 01:57:00,24.6875,100.0,2.831,8.44726,0.38,202.0
2021-06-19 01:58:00,24.6875,100.0,5.603,8.42003,0.38,199.0
2021-06-19 01:59:00,24.6875,100.0,3.735,8.42457,0.38,196.0
2021-06-19 02:00:00,24.6875,100.0,3.735,8.42457,0.38,196.0
2021-06-19 02:01:00,24.6875,100.0,6.465,8.4518,0.38,202.0
2021-06-19 02:02:00,24.6875,100.0,31.67,8.43365,0.38,199.0
2021-06-19 02:03:00,24.6875,100.0,21.46,8.43365,0.38,192.0
2021-06-19 02:04:00,24.6875,100.0,27.841,8.42911,0.38,197.0
2021-06-19 02:05:00,24.6875,100.0,3.795,8.42003,0.38,198.0
2021-06-19 02:06:00,24.6875,100.0,7.919,8.43818,0.38,193.0
2021-06-19 02:07:00,24.6875,100.0,4.141,8.42457,0.38,195.0
2021-06-19 02:08:00,24.6875,100.0,6.094,8.40641,0.38,195.0
2021-06-19 02:09:00,24.6875,100.0,5.908,8.42911,0.38,196.0
2021-06-19 02:10:00,24.6875,100.0,26.058,8.42911,0.38,194.0
2021-06-19 02:11:00,24.6875,100.0,35.305,8.41549,0.38,193.0
2021-06-19 02:12:00,24.6875,100.0,12.45,8.44726,0.38,193.0
2021-06-19 02:13:00,24.6875,100.0,4.031,8.42003,0.38,192.0
2021-06-19 02:14:00,24.6875,100.0,2.713,8.43365,0.38,194.0
2021-06-19 02:15:00,24.6875,100.0,7.099,8.42911,0.38,193.0
2021-06-19 02:16:00,24.625,100.0,4.073,8.43365,0.38,192.0
2021-06-19 02:17:00,24.6875,100.0,3.761,8.40641,0.38,193.0
2021-06-19 02:18:00,24.6875,100.0,7.497,8.43365,0.38,193.0
2021-06-19 02:19:00,24.6875,100.0,7.497,8.43365,0.38,193.0
2021-06-19 02:20:00,24.6875,100.0,5.257,8.42003,0.38,193.0
2021-06-19 02:21:00,24.6875,100.0,27.537,8.42911,0.38,194.0
2021-06-19 02:22:00,24.6875,100.0,5.062,8.43818,0.38,186.0
2021-06-19 02:23:00,24.625,100.0,38.322,8.43365,0.38,191.0
2021-06-19 02:24:00,24.625,100.0,6.102,8.42911,0.38,192.0
2021-06-19 02:25:00,24.625,100.0,11.317,8.42003,0.38,193.0
2021-06-19 02:26:00,24.6875,100.0,4.986,8.42911,0.38,192.0
2021-06-19 02:27:00,24.625,100.0,4.403,8.43365,0.38,192.0
2021-06-19 02:28:00,24.625,100.0,5.113,8.42911,0.38,190.0
2021-06-19 02:29:00,24.625,100.0,6.761,8.42911,0.38,193.0
2021-06-19 02:30:00,24.625,100.0,3.389,8.43365,0.38,192.0
2021-06-19 02:31:00,24.625,100.0,5.823,8.42911,0.38,193.0
2021-06-19 02:32:00,24.6875,100.0,9.72,8.43365,0.38,192.0
2021-06-19 02:33:00,24.6875,100.0,9.72,8.43365,0.38,192.0
2021-06-19 02:34:00,24.6875,100.0,21.299,8.42911,0.38,192.0
2021-06-19 02:35:00,24.625,100.0,2.366,8.42003,0.38,186.0
2021-06-19 02:36:00,24.625,100.0,1.851,8.43365,0.38,191.0
2021-06-19 02:37:00,24.625,100.0,28.72,8.42457,0.38,191.0
2021-06-19 02:38:00,24.625,100.0,4.226,8.43365,0.38,191.0
2021-06-19 02:39:00,24.625,100.0,5.231,8.43365,0.38,194.0
2021-06-19 02:40:00,24.625,100.0,7.488,8.55167,0.38,193.0
2021-06-19 02:41:00,24.625,100.0,3.423,8.43365,0.38,192.0
2021-06-19 02:42:00,24.625,100.0,3.33,8.43365,0.38,188.0
2021-06-19 02:43:00,24.625,100.0,8.688,8.43365,0.38,192.0
2021-06-19 02:44:00,24.625,100.0,32.473,8.42911,0.38,192.0
2021-06-19 02:45:00,24.625,100.0,5.477,8.41549,0.38,193.0
2021-06-19 02:46:00,24.625,100.0,38.652,8.43365,0.38,192.0
2021-06-19 02:47:00,24.625,100.0,3.465,8.42911,0.38,192.0
2021-06-19 02:48:00,24.625,100.0,12.289,8.42911,0.38,192.0
2021-06-19 02:49:00,24.625,100.0,8.748,8.43365,0.38,192.0
2021-06-19 02:50:00,24.625,100.0,4.606,8.43818,0.38,194.0
2021-06-19 02:51:00,24.625,100.0,9.407,8.43365,0.38,191.0
2021-06-19 02:52:00,24.625,100.0,4.589,8.43818,0.38,192.0
2021-06-19 02:53:00,24.625,100.0,4.623,8.43818,0.38,191.0
2021-06-19 02:54:00,24.625,100.0,5.257,8.42457,0.38,191.0
2021-06-19 02:55:00,24.625,100.0,5.637,8.42911,0.38,189.0
2021-06-19 02:56:00,24.625,100.0,6.102,8.43365,0.38,191.0
2021-06-19 02:57:00,24.625,100.0,12.458,8.42457,0.38,192.0
2021-06-19 02:58:00,24.625,100.0,3.938,8.43818,0.38,193.0
2021-06-19 02:59:00,24.625,100.0,12.078,8.42911,0.38,194.0
2021-06-19 03:00:00,24.625,100.0,7.919,8.42911,0.38,193.0
